REGION,TECHNOLOGY,TIMESLICE,YEAR,VALUE
GLOBAL,PWRCSPARGXX01,S1D1,2021,0.0
GLOBAL,PWRCSPARGXX01,S1D1,2022,0.0
GLOBAL,PWRCSPARGXX01,S1D1,2023,0.0
GLOBAL,PWRCSPARGXX01,S1D1,2024,0.0
GLOBAL,PWRCSPARGXX01,S1D1,2025,0.0
GLOBAL,PWRCSPARGXX01,S1D1,2026,0.0
GLOBAL,PWRCSPARGXX01,S1D1,2027,0.0
GLOBAL,PWRCSPARGXX01,S1D1,2028,0.0
GLOBAL,PWRCSPARGXX01,S1D1,2029,0.0
GLOBAL,PWRCSPARGXX01,S1D1,2030,0.0
GLOBAL,PWRCSPARGXX01,S1D1,2031,0.0
GLOBAL,PWRCSPARGXX01,S1D1,2032,0.0
GLOBAL,PWRCSPARGXX01,S1D1,2033,0.0
GLOBAL,PWRCSPARGXX01,S1D1,2034,0.0
GLOBAL,PWRCSPARGXX01,S1D1,2035,0.0
GLOBAL,PWRCSPARGXX01,S1D1,2036,0.0
GLOBAL,PWRCSPARGXX01,S1D1,2037,0.0
GLOBAL,PWRCSPARGXX01,S1D1,2038,0.0
GLOBAL,PWRCSPARGXX01,S1D1,2039,0.0
GLOBAL,PWRCSPARGXX01,S1D1,2040,0.0
GLOBAL,PWRCSPARGXX01,S1D1,2041,0.0
GLOBAL,PWRCSPARGXX01,S1D1,2042,0.0
GLOBAL,PWRCSPARGXX01,S1D1,2043,0.0
GLOBAL,PWRCSPARGXX01,S1D1,2044,0.0
GLOBAL,PWRCSPARGXX01,S1D1,2045,0.0
GLOBAL,PWRCSPARGXX01,S1D1,2046,0.0
GLOBAL,PWRCSPARGXX01,S1D1,2047,0.0
GLOBAL,PWRCSPARGXX01,S1D1,2048,0.0
GLOBAL,PWRCSPARGXX01,S1D1,2049,0.0
GLOBAL,PWRCSPARGXX01,S1D1,2050,0.0
GLOBAL,PWRCSPARGXX01,S1D2,2021,0.5399
GLOBAL,PWRCSPARGXX01,S1D2,2022,0.5399
GLOBAL,PWRCSPARGXX01,S1D2,2023,0.5399
GLOBAL,PWRCSPARGXX01,S1D2,2024,0.5399
GLOBAL,PWRCSPARGXX01,S1D2,2025,0.5399
GLOBAL,PWRCSPARGXX01,S1D2,2026,0.5399
GLOBAL,PWRCSPARGXX01,S1D2,2027,0.5399
GLOBAL,PWRCSPARGXX01,S1D2,2028,0.5399
GLOBAL,PWRCSPARGXX01,S1D2,2029,0.5399
GLOBAL,PWRCSPARGXX01,S1D2,2030,0.5399
GLOBAL,PWRCSPARGXX01,S1D2,2031,0.5399
GLOBAL,PWRCSPARGXX01,S1D2,2032,0.5399
GLOBAL,PWRCSPARGXX01,S1D2,2033,0.5399
GLOBAL,PWRCSPARGXX01,S1D2,2034,0.5399
GLOBAL,PWRCSPARGXX01,S1D2,2035,0.5399
GLOBAL,PWRCSPARGXX01,S1D2,2036,0.5399
GLOBAL,PWRCSPARGXX01,S1D2,2037,0.5399
GLOBAL,PWRCSPARGXX01,S1D2,2038,0.5399
GLOBAL,PWRCSPARGXX01,S1D2,2039,0.5399
GLOBAL,PWRCSPARGXX01,S1D2,2040,0.5399
GLOBAL,PWRCSPARGXX01,S1D2,2041,0.5399
GLOBAL,PWRCSPARGXX01,S1D2,2042,0.5399
GLOBAL,PWRCSPARGXX01,S1D2,2043,0.5399
GLOBAL,PWRCSPARGXX01,S1D2,2044,0.5399
GLOBAL,PWRCSPARGXX01,S1D2,2045,0.5399
GLOBAL,PWRCSPARGXX01,S1D2,2046,0.5399
GLOBAL,PWRCSPARGXX01,S1D2,2047,0.5399
GLOBAL,PWRCSPARGXX01,S1D2,2048,0.5399
