PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
ReserveMarginTagFuel,BAU,GLOBAL,,ELCPERXX01,,,2023,,,,,,1.0
ReserveMarginTagFuel,BAU,GLOBAL,,ELCPERXX01,,,2024,,,,,,1.0
ReserveMarginTagFuel,BAU,GLOBAL,,ELCPERXX01,,,2025,,,,,,1.0
ReserveMarginTagFuel,BAU,GLOBAL,,ELCPERXX01,,,2026,,,,,,1.0
ReserveMarginTagFuel,BAU,GLOBAL,,ELCPERXX01,,,2027,,,,,,1.0
ReserveMarginTagFuel,BAU,GLOBAL,,ELCPERXX01,,,2028,,,,,,1.0
ReserveMarginTagFuel,BAU,GLOBAL,,ELCPERXX01,,,2029,,,,,,1.0
ReserveMarginTagFuel,BAU,GLOBAL,,ELCPERXX01,,,2030,,,,,,1.0
ReserveMarginTagFuel,BAU,GLOBAL,,ELCPERXX01,,,2031,,,,,,1.0
ReserveMarginTagFuel,BAU,GLOBAL,,ELCPERXX01,,,2032,,,,,,1.0
ReserveMarginTagFuel,BAU,GLOBAL,,ELCPERXX01,,,2033,,,,,,1.0
ReserveMarginTagFuel,BAU,GLOBAL,,ELCPERXX01,,,2034,,,,,,1.0
ReserveMarginTagFuel,BAU,GLOBAL,,ELCPERXX01,,,2035,,,,,,1.0
ReserveMarginTagFuel,BAU,GLOBAL,,ELCPERXX01,,,2036,,,,,,1.0
ReserveMarginTagFuel,BAU,GLOBAL,,ELCPERXX01,,,2037,,,,,,1.0
ReserveMarginTagFuel,BAU,GLOBAL,,ELCPERXX01,,,2038,,,,,,1.0
ReserveMarginTagFuel,BAU,GLOBAL,,ELCPERXX01,,,2039,,,,,,1.0
ReserveMarginTagFuel,BAU,GLOBAL,,ELCPERXX01,,,2040,,,,,,1.0
ReserveMarginTagFuel,BAU,GLOBAL,,ELCPERXX01,,,2041,,,,,,1.0
ReserveMarginTagFuel,BAU,GLOBAL,,ELCPERXX01,,,2042,,,,,,1.0
ReserveMarginTagFuel,BAU,GLOBAL,,ELCPERXX01,,,2043,,,,,,1.0
ReserveMarginTagFuel,BAU,GLOBAL,,ELCPERXX01,,,2044,,,,,,1.0
ReserveMarginTagFuel,BAU,GLOBAL,,ELCPERXX01,,,2045,,,,,,1.0
ReserveMarginTagFuel,BAU,GLOBAL,,ELCPERXX01,,,2046,,,,,,1.0
ReserveMarginTagFuel,BAU,GLOBAL,,ELCPERXX01,,,2047,,,,,,1.0
ReserveMarginTagFuel,BAU,GLOBAL,,ELCPERXX01,,,2048,,,,,,1.0
ReserveMarginTagFuel,BAU,GLOBAL,,ELCPERXX01,,,2049,,,,,,1.0
ReserveMarginTagFuel,BAU,GLOBAL,,ELCPERXX01,,,2050,,,,,,1.0
ReserveMarginTagFuel,BAU,GLOBAL,,ELCARGXX01,,,2023,,,,,,1.0
