REGION,TECHNOLOGY,TIMESLICE,YEAR,VALUE
GLOBAL,PWRBIOBRAXX01,S2D2,2027,1.0
GLOBAL,PWRBIOBRAXX01,S2D2,2028,1.0
GLOBAL,PWRBIOBRAXX01,S2D2,2029,1.0
GLOBAL,PWRBIOBRAXX01,S2D2,2030,1.0
GLOBAL,PWRBIOBRAXX01,S2D2,2031,1.0
GLOBAL,PWRBIOBRAXX01,S2D2,2032,1.0
GLOBAL,PWRBIOBRAXX01,S2D2,2033,1.0
GLOBAL,PWRBIOBRAXX01,S2D2,2034,1.0
GLOBAL,PWRBIOBRAXX01,S2D2,2035,1.0
GLOBAL,PWRBIOBRAXX01,S2D2,2036,1.0
GLOBAL,PWRBIOBRAXX01,S2D2,2037,1.0
GLOBAL,PWRBIOBRAXX01,S2D2,2038,1.0
GLOBAL,PWRBIOBRAXX01,S2D2,2039,1.0
GLOBAL,PWRBIOBRAXX01,S2D2,2040,1.0
GLOBAL,PWRBIOBRAXX01,S2D2,2041,1.0
GLOBAL,PWRBIOBRAXX01,S2D2,2042,1.0
GLOBAL,PWRBIOBRAXX01,S2D2,2043,1.0
GLOBAL,PWRBIOBRAXX01,S2D2,2044,1.0
GLOBAL,PWRBIOBRAXX01,S2D2,2045,1.0
GLOBAL,PWRBIOBRAXX01,S2D2,2046,1.0
GLOBAL,PWRBIOBRAXX01,S2D2,2047,1.0
GLOBAL,PWRBIOBRAXX01,S2D2,2048,1.0
GLOBAL,PWRBIOBRAXX01,S2D2,2049,1.0
GLOBAL,PWRBIOBRAXX01,S2D2,2050,1.0
GLOBAL,PWRBIOBRAXX01,S2D3,2023,1.0
GLOBAL,PWRBIOBRAXX01,S2D3,2024,1.0
GLOBAL,PWRBIOBRAXX01,S2D3,2025,1.0
GLOBAL,PWRBIOBRAXX01,S2D3,2026,1.0
GLOBAL,PWRBIOBRAXX01,S2D3,2027,1.0
GLOBAL,PWRBIOBRAXX01,S2D3,2028,1.0
GLOBAL,PWRBIOBRAXX01,S2D3,2029,1.0
GLOBAL,PWRBIOBRAXX01,S2D3,2030,1.0
GLOBAL,PWRBIOBRAXX01,S2D3,2031,1.0
GLOBAL,PWRBIOBRAXX01,S2D3,2032,1.0
GLOBAL,PWRBIOBRAXX01,S2D3,2033,1.0
GLOBAL,PWRBIOBRAXX01,S2D3,2034,1.0
GLOBAL,PWRBIOBRAXX01,S2D3,2035,1.0
GLOBAL,PWRBIOBRAXX01,S2D3,2036,1.0
GLOBAL,PWRBIOBRAXX01,S2D3,2037,1.0
GLOBAL,PWRBIOBRAXX01,S2D3,2038,1.0
GLOBAL,PWRBIOBRAXX01,S2D3,2039,1.0
GLOBAL,PWRBIOBRAXX01,S2D3,2040,1.0
GLOBAL,PWRBIOBRAXX01,S2D3,2041,1.0
GLOBAL,PWRBIOBRAXX01,S2D3,2042,1.0
GLOBAL,PWRBIOBRAXX01,S2D3,2043,1.0
GLOBAL,PWRBIOBRAXX01,S2D3,2044,1.0
GLOBAL,PWRBIOBRAXX01,S2D3,2045,1.0
GLOBAL,PWRBIOBRAXX01,S2D3,2046,1.0
GLOBAL,PWRBIOBRAXX01,S2D3,2047,1.0
GLOBAL,PWRBIOBRAXX01,S2D3,2048,1.0
GLOBAL,PWRBIOBRAXX01,S2D3,2049,1.0
GLOBAL,PWRBIOBRAXX01,S2D3,2050,1.0
GLOBAL,PWRBIOBRAXX01,S3D1,2023,1.0
GLOBAL,PWRBIOBRAXX01,S3D1,2024,1.0
GLOBAL,PWRBIOBRAXX01,S3D1,2025,1.0
GLOBAL,PWRBIOBRAXX01,S3D1,2026,1.0
GLOBAL,PWRBIOBRAXX01,S3D1,2027,1.0
GLOBAL,PWRBIOBRAXX01,S3D1,2028,1.0
GLOBAL,PWRBIOBRAXX01,S3D1,2029,1.0
GLOBAL,PWRBIOBRAXX01,S3D1,2030,1.0
GLOBAL,PWRBIOBRAXX01,S3D1,2031,1.0
GLOBAL,PWRBIOBRAXX01,S3D1,2032,1.0
GLOBAL,PWRBIOBRAXX01,S3D1,2033,1.0
GLOBAL,PWRBIOBRAXX01,S3D1,2034,1.0
GLOBAL,PWRBIOBRAXX01,S3D1,2035,1.0
GLOBAL,PWRBIOBRAXX01,S3D1,2036,1.0
GLOBAL,PWRBIOBRAXX01,S3D1,2037,1.0
GLOBAL,PWRBIOBRAXX01,S3D1,2038,1.0
GLOBAL,PWRBIOBRAXX01,S3D1,2039,1.0
GLOBAL,PWRBIOBRAXX01,S3D1,2040,1.0
GLOBAL,PWRBIOBRAXX01,S3D1,2041,1.0
GLOBAL,PWRBIOBRAXX01,S3D1,2042,1.0
GLOBAL,PWRBIOBRAXX01,S3D1,2043,1.0
GLOBAL,PWRBIOBRAXX01,S3D1,2044,1.0
GLOBAL,PWRBIOBRAXX01,S3D1,2045,1.0
GLOBAL,PWRBIOBRAXX01,S3D1,2046,1.0
GLOBAL,PWRBIOBRAXX01,S3D1,2047,1.0
GLOBAL,PWRBIOBRAXX01,S3D1,2048,1.0
GLOBAL,PWRBIOBRAXX01,S3D1,2049,1.0
GLOBAL,PWRBIOBRAXX01,S3D1,2050,1.0
GLOBAL,PWRBIOBRAXX01,S3D2,2023,1.0
GLOBAL,PWRBIOBRAXX01,S3D2,2024,1.0
GLOBAL,PWRBIOBRAXX01,S3D2,2025,1.0
GLOBAL,PWRBIOBRAXX01,S3D2,2026,1.0
GLOBAL,PWRBIOBRAXX01,S3D2,2027,1.0
GLOBAL,PWRBIOBRAXX01,S3D2,2028,1.0
GLOBAL,PWRBIOBRAXX01,S3D2,2029,1.0
GLOBAL,PWRBIOBRAXX01,S3D2,2030,1.0
GLOBAL,PWRBIOBRAXX01,S3D2,2031,1.0
GLOBAL,PWRBIOBRAXX01,S3D2,2032,1.0
GLOBAL,PWRBIOBRAXX01,S3D2,2033,1.0
GLOBAL,PWRBIOBRAXX01,S3D2,2034,1.0
GLOBAL,PWRBIOBRAXX01,S3D2,2035,1.0
GLOBAL,PWRBIOBRAXX01,S3D2,2036,1.0
GLOBAL,PWRBIOBRAXX01,S3D2,2037,1.0
GLOBAL,PWRBIOBRAXX01,S3D2,2038,1.0
GLOBAL,PWRBIOBRAXX01,S3D2,2039,1.0
GLOBAL,PWRBIOBRAXX01,S3D2,2040,1.0
GLOBAL,PWRBIOBRAXX01,S3D2,2041,1.0
GLOBAL,PWRBIOBRAXX01,S3D2,2042,1.0
GLOBAL,PWRBIOBRAXX01,S3D2,2043,1.0
GLOBAL,PWRBIOBRAXX01,S3D2,2044,1.0
GLOBAL,PWRBIOBRAXX01,S3D2,2045,1.0
GLOBAL,PWRBIOBRAXX01,S3D2,2046,1.0
GLOBAL,PWRBIOBRAXX01,S3D2,2047,1.0
GLOBAL,PWRBIOBRAXX01,S3D2,2048,1.0
GLOBAL,PWRBIOBRAXX01,S3D2,2049,1.0
GLOBAL,PWRBIOBRAXX01,S3D2,2050,1.0
GLOBAL,PWRBIOBRAXX01,S3D3,2023,1.0
GLOBAL,PWRBIOBRAXX01,S3D3,2024,1.0
GLOBAL,PWRBIOBRAXX01,S3D3,2025,1.0
GLOBAL,PWRBIOBRAXX01,S3D3,2026,1.0
GLOBAL,PWRBIOBRAXX01,S3D3,2027,1.0
GLOBAL,PWRBIOBRAXX01,S3D3,2028,1.0
GLOBAL,PWRBIOBRAXX01,S3D3,2029,1.0
GLOBAL,PWRBIOBRAXX01,S3D3,2030,1.0
GLOBAL,PWRBIOBRAXX01,S3D3,2031,1.0
GLOBAL,PWRBIOBRAXX01,S3D3,2032,1.0
GLOBAL,PWRBIOBRAXX01,S3D3,2033,1.0
GLOBAL,PWRBIOBRAXX01,S3D3,2034,1.0
GLOBAL,PWRBIOBRAXX01,S3D3,2035,1.0
GLOBAL,PWRBIOBRAXX01,S3D3,2036,1.0
GLOBAL,PWRBIOBRAXX01,S3D3,2037,1.0
GLOBAL,PWRBIOBRAXX01,S3D3,2038,1.0
GLOBAL,PWRBIOBRAXX01,S3D3,2039,1.0
GLOBAL,PWRBIOBRAXX01,S3D3,2040,1.0
GLOBAL,PWRBIOBRAXX01,S3D3,2041,1.0
GLOBAL,PWRBIOBRAXX01,S3D3,2042,1.0
GLOBAL,PWRBIOBRAXX01,S3D3,2043,1.0
GLOBAL,PWRBIOBRAXX01,S3D3,2044,1.0
GLOBAL,PWRBIOBRAXX01,S3D3,2045,1.0
GLOBAL,PWRBIOBRAXX01,S3D3,2046,1.0
GLOBAL,PWRBIOBRAXX01,S3D3,2047,1.0
GLOBAL,PWRBIOBRAXX01,S3D3,2048,1.0
GLOBAL,PWRBIOBRAXX01,S3D3,2049,1.0
GLOBAL,PWRBIOBRAXX01,S3D3,2050,1.0
GLOBAL,PWRBIOBRAXX01,S4D1,2023,1.0
GLOBAL,PWRBIOBRAXX01,S4D1,2024,1.0
GLOBAL,PWRBIOBRAXX01,S4D1,2025,1.0
GLOBAL,PWRBIOBRAXX01,S4D1,2026,1.0
GLOBAL,PWRBIOBRAXX01,S4D1,2027,1.0
GLOBAL,PWRBIOBRAXX01,S4D1,2028,1.0
GLOBAL,PWRBIOBRAXX01,S4D1,2029,1.0
GLOBAL,PWRBIOBRAXX01,S4D1,2030,1.0
GLOBAL,PWRBIOBRAXX01,S4D1,2031,1.0
GLOBAL,PWRBIOBRAXX01,S4D1,2032,1.0
GLOBAL,PWRBIOBRAXX01,S4D1,2033,1.0
GLOBAL,PWRBIOBRAXX01,S4D1,2034,1.0
GLOBAL,PWRBIOBRAXX01,S4D1,2035,1.0
GLOBAL,PWRBIOBRAXX01,S4D1,2036,1.0
GLOBAL,PWRBIOBRAXX01,S4D1,2037,1.0
GLOBAL,PWRBIOBRAXX01,S4D1,2038,1.0
GLOBAL,PWRBIOBRAXX01,S4D1,2039,1.0
GLOBAL,PWRBIOBRAXX01,S4D1,2040,1.0
GLOBAL,PWRBIOBRAXX01,S4D1,2041,1.0
GLOBAL,PWRBIOBRAXX01,S4D1,2042,1.0
GLOBAL,PWRBIOBRAXX01,S4D1,2043,1.0
GLOBAL,PWRBIOBRAXX01,S4D1,2044,1.0
GLOBAL,PWRBIOBRAXX01,S4D1,2045,1.0
GLOBAL,PWRBIOBRAXX01,S4D1,2046,1.0
GLOBAL,PWRBIOBRAXX01,S4D1,2047,1.0
GLOBAL,PWRBIOBRAXX01,S4D1,2048,1.0
GLOBAL,PWRBIOBRAXX01,S4D1,2049,1.0
GLOBAL,PWRBIOBRAXX01,S4D1,2050,1.0
GLOBAL,PWRBIOBRAXX01,S4D2,2023,1.0
GLOBAL,PWRBIOBRAXX01,S4D2,2024,1.0
GLOBAL,PWRBIOBRAXX01,S4D2,2025,1.0
GLOBAL,PWRBIOBRAXX01,S4D2,2026,1.0
GLOBAL,PWRBIOBRAXX01,S4D2,2027,1.0
GLOBAL,PWRBIOBRAXX01,S4D2,2028,1.0
GLOBAL,PWRBIOBRAXX01,S4D2,2029,1.0
GLOBAL,PWRBIOBRAXX01,S4D2,2030,1.0
GLOBAL,PWRBIOBRAXX01,S4D2,2031,1.0
GLOBAL,PWRBIOBRAXX01,S4D2,2032,1.0
GLOBAL,PWRBIOBRAXX01,S4D2,2033,1.0
GLOBAL,PWRBIOBRAXX01,S4D2,2034,1.0
GLOBAL,PWRBIOBRAXX01,S4D2,2035,1.0
GLOBAL,PWRBIOBRAXX01,S4D2,2036,1.0
GLOBAL,PWRBIOBRAXX01,S4D2,2037,1.0
GLOBAL,PWRBIOBRAXX01,S4D2,2038,1.0
GLOBAL,PWRBIOBRAXX01,S4D2,2039,1.0
GLOBAL,PWRBIOBRAXX01,S4D2,2040,1.0
GLOBAL,PWRBIOBRAXX01,S4D2,2041,1.0
GLOBAL,PWRBIOBRAXX01,S4D2,2042,1.0
GLOBAL,PWRBIOBRAXX01,S4D2,2043,1.0
GLOBAL,PWRBIOBRAXX01,S4D2,2044,1.0
GLOBAL,PWRBIOBRAXX01,S4D2,2045,1.0
GLOBAL,PWRBIOBRAXX01,S4D2,2046,1.0
GLOBAL,PWRBIOBRAXX01,S4D2,2047,1.0
GLOBAL,PWRBIOBRAXX01,S4D2,2048,1.0
GLOBAL,PWRBIOBRAXX01,S4D2,2049,1.0
GLOBAL,PWRBIOBRAXX01,S4D2,2050,1.0
GLOBAL,PWRBIOBRAXX01,S4D3,2023,1.0
GLOBAL,PWRBIOBRAXX01,S4D3,2024,1.0
GLOBAL,PWRBIOBRAXX01,S4D3,2025,1.0
GLOBAL,PWRBIOBRAXX01,S4D3,2026,1.0
GLOBAL,PWRBIOBRAXX01,S4D3,2027,1.0
GLOBAL,PWRBIOBRAXX01,S4D3,2028,1.0
GLOBAL,PWRBIOBRAXX01,S4D3,2029,1.0
GLOBAL,PWRBIOBRAXX01,S4D3,2030,1.0
GLOBAL,PWRBIOBRAXX01,S4D3,2031,1.0
GLOBAL,PWRBIOBRAXX01,S4D3,2032,1.0
GLOBAL,PWRBIOBRAXX01,S4D3,2033,1.0
GLOBAL,PWRBIOBRAXX01,S4D3,2034,1.0
GLOBAL,PWRBIOBRAXX01,S4D3,2035,1.0
GLOBAL,PWRBIOBRAXX01,S4D3,2036,1.0
GLOBAL,PWRBIOBRAXX01,S4D3,2037,1.0
GLOBAL,PWRBIOBRAXX01,S4D3,2038,1.0
GLOBAL,PWRBIOBRAXX01,S4D3,2039,1.0
GLOBAL,PWRBIOBRAXX01,S4D3,2040,1.0
GLOBAL,PWRBIOBRAXX01,S4D3,2041,1.0
GLOBAL,PWRBIOBRAXX01,S4D3,2042,1.0
GLOBAL,PWRBIOBRAXX01,S4D3,2043,1.0
GLOBAL,PWRBIOBRAXX01,S4D3,2044,1.0
GLOBAL,PWRBIOBRAXX01,S4D3,2045,1.0
GLOBAL,PWRBIOBRAXX01,S4D3,2046,1.0
GLOBAL,PWRBIOBRAXX01,S4D3,2047,1.0
GLOBAL,PWRBIOBRAXX01,S4D3,2048,1.0
GLOBAL,PWRBIOBRAXX01,S4D3,2049,1.0
GLOBAL,PWRBIOBRAXX01,S4D3,2050,1.0
GLOBAL,PWRCCGBRAXX01,S1D1,2023,1.0
GLOBAL,PWRCCGBRAXX01,S1D1,2024,1.0
GLOBAL,PWRCCGBRAXX01,S1D1,2025,1.0
GLOBAL,PWRCCGBRAXX01,S1D1,2026,1.0
GLOBAL,PWRCCGBRAXX01,S1D1,2027,1.0
GLOBAL,PWRCCGBRAXX01,S1D1,2028,1.0
GLOBAL,PWRCCGBRAXX01,S1D1,2029,1.0
GLOBAL,PWRCCGBRAXX01,S1D1,2030,1.0
GLOBAL,PWRCCGBRAXX01,S1D1,2031,1.0
GLOBAL,PWRCCGBRAXX01,S1D1,2032,1.0
GLOBAL,PWRCCGBRAXX01,S1D1,2033,1.0
GLOBAL,PWRCCGBRAXX01,S1D1,2034,1.0
GLOBAL,PWRCCGBRAXX01,S1D1,2035,1.0
GLOBAL,PWRCCGBRAXX01,S1D1,2036,1.0
GLOBAL,PWRCCGBRAXX01,S1D1,2037,1.0
GLOBAL,PWRCCGBRAXX01,S1D1,2038,1.0
GLOBAL,PWRCCGBRAXX01,S1D1,2039,1.0
GLOBAL,PWRCCGBRAXX01,S1D1,2040,1.0
GLOBAL,PWRCCGBRAXX01,S1D1,2041,1.0
GLOBAL,PWRCCGBRAXX01,S1D1,2042,1.0
GLOBAL,PWRCCGBRAXX01,S1D1,2043,1.0
GLOBAL,PWRCCGBRAXX01,S1D1,2044,1.0
GLOBAL,PWRCCGBRAXX01,S1D1,2045,1.0
GLOBAL,PWRCCGBRAXX01,S1D1,2046,1.0
GLOBAL,PWRCCGBRAXX01,S1D1,2047,1.0
GLOBAL,PWRCCGBRAXX01,S1D1,2048,1.0
GLOBAL,PWRCCGBRAXX01,S1D1,2049,1.0
GLOBAL,PWRCCGBRAXX01,S1D1,2050,1.0
GLOBAL,PWRCCGBRAXX01,S1D2,2023,1.0
GLOBAL,PWRCCGBRAXX01,S1D2,2024,1.0
GLOBAL,PWRCCGBRAXX01,S1D2,2025,1.0
GLOBAL,PWRCCGBRAXX01,S1D2,2026,1.0
GLOBAL,PWRCCGBRAXX01,S1D2,2027,1.0
GLOBAL,PWRCCGBRAXX01,S1D2,2028,1.0
GLOBAL,PWRCCGBRAXX01,S1D2,2029,1.0
GLOBAL,PWRCCGBRAXX01,S1D2,2030,1.0
GLOBAL,PWRCCGBRAXX01,S1D2,2031,1.0
GLOBAL,PWRCCGBRAXX01,S1D2,2032,1.0
GLOBAL,PWRCCGBRAXX01,S1D2,2033,1.0
GLOBAL,PWRCCGBRAXX01,S1D2,2034,1.0
GLOBAL,PWRCCGBRAXX01,S1D2,2035,1.0
GLOBAL,PWRCCGBRAXX01,S1D2,2036,1.0
GLOBAL,PWRCCGBRAXX01,S1D2,2037,1.0
GLOBAL,PWRCCGBRAXX01,S1D2,2038,1.0
GLOBAL,PWRCCGBRAXX01,S1D2,2039,1.0
GLOBAL,PWRCCGBRAXX01,S1D2,2040,1.0
GLOBAL,PWRCCGBRAXX01,S1D2,2041,1.0
GLOBAL,PWRCCGBRAXX01,S1D2,2042,1.0
GLOBAL,PWRCCGBRAXX01,S1D2,2043,1.0
GLOBAL,PWRCCGBRAXX01,S1D2,2044,1.0
GLOBAL,PWRCCGBRAXX01,S1D2,2045,1.0
GLOBAL,PWRCCGBRAXX01,S1D2,2046,1.0
GLOBAL,PWRCCGBRAXX01,S1D2,2047,1.0
GLOBAL,PWRCCGBRAXX01,S1D2,2048,1.0
GLOBAL,PWRCCGBRAXX01,S1D2,2049,1.0
GLOBAL,PWRCCGBRAXX01,S1D2,2050,1.0
GLOBAL,PWRCCGBRAXX01,S1D3,2023,1.0
GLOBAL,PWRCCGBRAXX01,S1D3,2024,1.0
GLOBAL,PWRCCGBRAXX01,S1D3,2025,1.0
GLOBAL,PWRCCGBRAXX01,S1D3,2026,1.0
GLOBAL,PWRCCGBRAXX01,S1D3,2027,1.0
GLOBAL,PWRCCGBRAXX01,S1D3,2028,1.0
GLOBAL,PWRCCGBRAXX01,S1D3,2029,1.0
GLOBAL,PWRCCGBRAXX01,S1D3,2030,1.0
GLOBAL,PWRCCGBRAXX01,S1D3,2031,1.0
GLOBAL,PWRCCGBRAXX01,S1D3,2032,1.0
GLOBAL,PWRCCGBRAXX01,S1D3,2033,1.0
GLOBAL,PWRCCGBRAXX01,S1D3,2034,1.0
GLOBAL,PWRCCGBRAXX01,S1D3,2035,1.0
GLOBAL,PWRCCGBRAXX01,S1D3,2036,1.0
GLOBAL,PWRCCGBRAXX01,S1D3,2037,1.0
GLOBAL,PWRCCGBRAXX01,S1D3,2038,1.0
GLOBAL,PWRCCGBRAXX01,S1D3,2039,1.0
GLOBAL,PWRCCGBRAXX01,S1D3,2040,1.0
GLOBAL,PWRCCGBRAXX01,S1D3,2041,1.0
GLOBAL,PWRCCGBRAXX01,S1D3,2042,1.0
GLOBAL,PWRCCGBRAXX01,S1D3,2043,1.0
GLOBAL,PWRCCGBRAXX01,S1D3,2044,1.0
GLOBAL,PWRCCGBRAXX01,S1D3,2045,1.0
GLOBAL,PWRCCGBRAXX01,S1D3,2046,1.0
GLOBAL,PWRCCGBRAXX01,S1D3,2047,1.0
GLOBAL,PWRCCGBRAXX01,S1D3,2048,1.0
GLOBAL,PWRCCGBRAXX01,S1D3,2049,1.0
GLOBAL,PWRCCGBRAXX01,S1D3,2050,1.0
GLOBAL,PWRCCGBRAXX01,S2D1,2023,1.0
GLOBAL,PWRCCGBRAXX01,S2D1,2024,1.0
GLOBAL,PWRCCGBRAXX01,S2D1,2025,1.0
GLOBAL,PWRCCGBRAXX01,S2D1,2026,1.0
GLOBAL,PWRCCGBRAXX01,S2D1,2027,1.0
GLOBAL,PWRCCGBRAXX01,S2D1,2028,1.0
GLOBAL,PWRCCGBRAXX01,S2D1,2029,1.0
GLOBAL,PWRCCGBRAXX01,S2D1,2030,1.0
GLOBAL,PWRCCGBRAXX01,S2D1,2031,1.0
GLOBAL,PWRCCGBRAXX01,S2D1,2032,1.0
GLOBAL,PWRCCGBRAXX01,S2D1,2033,1.0
GLOBAL,PWRCCGBRAXX01,S2D1,2034,1.0
GLOBAL,PWRCCGBRAXX01,S2D1,2035,1.0
GLOBAL,PWRCCGBRAXX01,S2D1,2036,1.0
GLOBAL,PWRCCGBRAXX01,S2D1,2037,1.0
