PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
Yearsplit,NDCcond,,,,,,2018,All,,,,,1
Yearsplit,NDCcond,,,,,,2019,All,,,,,1
Yearsplit,NDCcond,,,,,,2020,All,,,,,1
Yearsplit,NDCcond,,,,,,2021,All,,,,,1
Yearsplit,NDCcond,,,,,,2022,All,,,,,1
Yearsplit,NDCcond,,,,,,2023,All,,,,,1
Yearsplit,NDCcond,,,,,,2024,All,,,,,1
Yearsplit,NDCcond,,,,,,2025,All,,,,,1
Yearsplit,NDCcond,,,,,,2026,All,,,,,1
Yearsplit,NDCcond,,,,,,2027,All,,,,,1
Yearsplit,NDCcond,,,,,,2028,All,,,,,1
Yearsplit,NDCcond,,,,,,2029,All,,,,,1
Yearsplit,NDCcond,,,,,,2030,All,,,,,1
Yearsplit,NDCcond,,,,,,2031,All,,,,,1
Yearsplit,NDCcond,,,,,,2032,All,,,,,1
Yearsplit,NDCcond,,,,,,2033,All,,,,,1
Yearsplit,NDCcond,,,,,,2034,All,,,,,1
Yearsplit,NDCcond,,,,,,2035,All,,,,,1
Yearsplit,NDCcond,,,,,,2036,All,,,,,1
Yearsplit,NDCcond,,,,,,2037,All,,,,,1
Yearsplit,NDCcond,,,,,,2038,All,,,,,1
Yearsplit,NDCcond,,,,,,2039,All,,,,,1
Yearsplit,NDCcond,,,,,,2040,All,,,,,1
Yearsplit,NDCcond,,,,,,2041,All,,,,,1
Yearsplit,NDCcond,,,,,,2042,All,,,,,1
Yearsplit,NDCcond,,,,,,2043,All,,,,,1
Yearsplit,NDCcond,,,,,,2044,All,,,,,1
Yearsplit,NDCcond,,,,,,2045,All,,,,,1
Yearsplit,NDCcond,,,,,,2046,All,,,,,1
Yearsplit,NDCcond,,,,,,2047,All,,,,,1
Yearsplit,NDCcond,,,,,,2048,All,,,,,1
Yearsplit,NDCcond,,,,,,2049,All,,,,,1
Yearsplit,NDCcond,,,,,,2050,All,,,,,1
